date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:07	26046/26046	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:21:07%20GMT	http://ardventures.in/kriti/kriti/index.php	D:/KRITI/ardventures.in/kriti/kriti/index.html	(from )
11:51:08	491/491	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/img/favicon.png	D:/KRITI/ardventures.in/kriti/kriti/assets/img/favicon.png	(from http://ardventures.in/kriti/kriti/index.php)
11:51:09	1738/1738	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/img/apple-touch-icon.png	D:/KRITI/ardventures.in/kriti/kriti/assets/img/apple-touch-icon.png	(from http://ardventures.in/kriti/kriti/index.php)
11:51:10	160403/160403	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/vendor/bootstrap/css/bootstrap.min.css	D:/KRITI/ardventures.in/kriti/kriti/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://ardventures.in/kriti/kriti/index.php)
11:51:11	92208/92208	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/vendor/icofont/icofont.min.css	D:/KRITI/ardventures.in/kriti/kriti/assets/vendor/icofont/icofont.min.css	(from http://ardventures.in/kriti/kriti/index.php)
11:51:13	61773/61773	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/vendor/boxicons/css/boxicons.min.css	D:/KRITI/ardventures.in/kriti/kriti/assets/vendor/boxicons/css/boxicons.min.css	(from http://ardventures.in/kriti/kriti/index.php)
11:51:15	110438/110438	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/vendor/remixicon/remixicon.css	D:/KRITI/ardventures.in/kriti/kriti/assets/vendor/remixicon/remixicon.css	(from http://ardventures.in/kriti/kriti/index.php)
11:51:17	3351/3351	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/vendor/owl.carousel/assets/owl.carousel.min.css	D:/KRITI/ardventures.in/kriti/kriti/assets/vendor/owl.carousel/assets/owl.carousel.min.css	(from http://ardventures.in/kriti/kriti/index.php)
11:51:18	71752/71752	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/vendor/animate.css/animate.min.css	D:/KRITI/ardventures.in/kriti/kriti/assets/vendor/animate.css/animate.min.css	(from http://ardventures.in/kriti/kriti/index.php)
11:51:19	26053/26053	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202020%2015:19:28%20GMT	http://ardventures.in/kriti/kriti/assets/vendor/aos/aos.css	D:/KRITI/ardventures.in/kriti/kriti/assets/vendor/aos/aos.css	(from http://ardventures.in/kriti/kriti/index.php)
